incorrect_sentence,correct_sentence
"புத்தகம் அவன் வாசிக்கிறான்.","அவன் புத்தகம் வாசிக்கிறான்."
"நான் வாசிக்கிறேன் கதை.","நான் கதை வாசிக்கிறேன்."
"சாப்பிடுகிறான் அவன் உணவு.","அவன் உணவு சாப்பிடுகிறான்."
"அழகான வீட்டில் அவன் இருக்கிறான்.","அவன் அழகான வீட்டில் இருக்கிறான்."
"சிவப்பு பள்ளி பேருந்து வந்தது.","சிவப்பு பேருந்து பள்ளிக்கு வந்தது."
"நல்ல மாணவர்கள் பத்தொன்பது இருக்கிறார்கள்.","நல்ல பத்தொன்பது மாணவர்கள் இருக்கிறார்கள்."
"குழந்தைகள் ஆட்டம் விளையாடுகிறான்.","குழந்தைகள் ஆட்டம் விளையாடுகிறார்கள்."
"மாணவன் பாடல்கள் பாடுகிறார்கள்.","மாணவன் பாடல் பாடுகிறான்."
"வாழைப்பழம் இரண்டு வாங்கினேன்.","வாழைப்பழங்கள் இரண்டு வாங்கினேன்."
"அவர்கள் புத்தகங்கள் வாசிக்கிறான்.","அவர்கள் புத்தகங்கள் வாசிக்கிறார்கள்."
"நாங்கள் விளையாட்டு பார்க்கிறான்.","நாங்கள் விளையாட்டு பார்க்கிறோம்."
"அவன் சாப்பாடு சமைக்கிறார்கள்.","அவன் சாப்பாடு சமைக்கிறான்."
"மழை பெய்து நாங்கள் வெளியே போனோம்.","மழை பெய்ததால், நாங்கள் வெளியே போகவில்லை."
